date,wave,ticker,name,group,t0_date,t0_close,last_date,last_close,ret_asof_now,ret_max_seen,n_days_avail
2026-07-29,B,002270,华明装备,watch,2026-07-29,19.89,2026-08-21,19.26,-3.17,5.83,17
2026-07-29,B,002385,大北农,watch,2026-07-29,3.0,2026-08-21,3.18,6.0,13.67,17
2026-07-29,B,601168,西部矿业,watch,2026-07-29,36.91,2026-08-21,37.85,2.55,16.69,17
2026-07-29,B,688122,西部超导,watch,2026-07-29,52.07,2026-08-21,49.2,-5.51,5.19,17
2026-07-29,B,000831,中国稀土,watch,2026-07-29,48.03,2026-08-21,56.33,17.28,30.73,17
2026-07-29,B,002438,江苏神通,watch,2026-07-29,12.58,2026-08-21,13.85,10.1,21.54,17
2026-07-29,B,688690,纳微科技,watch,2026-07-29,35.28,2026-08-21,43.4,23.02,28.6,17
2026-07-29,B,603379,三美股份,watch,2026-07-29,59.16,2026-08-21,61.45,3.87,14.47,17
2026-07-29,B,600259,广晟有色,watch,2026-07-29,71.13,2026-08-21,85.3,19.92,29.62,17
2026-07-29,B,603505,金石资源,watch,2026-07-29,16.09,2026-08-21,15.28,-5.03,5.78,17
2026-07-29,B,002821,凯莱英,watch,2026-07-29,155.01,2026-08-21,168.1,8.44,17.67,17
2026-07-29,B,600549,厦门钨业,watch,2026-07-29,47.37,2026-08-21,55.58,17.33,26.56,17
2026-07-29,B,603688,石英股份,watch,2026-07-29,43.57,2026-08-21,48.75,11.89,18.2,17
2026-07-29,B,000657,中钨高新,watch,2026-07-29,52.54,2026-08-21,68.14,29.69,38.83,17
2026-07-30,B,600114,东睦股份,watch,2026-07-30,24.97,2026-08-21,30.22,21.03,22.51,16
2026-07-30,B,000657,中钨高新,watch,2026-07-30,48.4,2026-08-21,68.14,40.79,50.7,16
2026-07-30,B,603505,金石资源,watch,2026-07-30,15.94,2026-08-21,15.28,-4.14,6.78,16
2026-07-30,B,688690,纳微科技,watch,2026-07-30,34.34,2026-08-21,43.4,26.38,32.12,16
2026-07-30,B,300395,菲利华,watch,2026-07-30,71.6,2026-08-21,87.99,22.89,33.03,16
2026-07-30,B,688017,绿的谐波,watch,2026-07-30,261.0,2026-08-21,314.35,20.44,45.9,16
2026-07-30,B,300487,蓝晓科技,watch,2026-07-30,56.04,2026-08-21,66.89,19.36,24.84,16
2026-07-30,B,002385,大北农,watch,2026-07-30,3.02,2026-08-21,3.18,5.3,12.91,16
2026-07-30,B,688234,天岳先进,watch,2026-07-30,81.35,2026-08-21,109.95,35.16,48.31,16
2026-07-30,B,603477,巨星农牧,watch,2026-07-30,14.9,2026-08-21,14.35,-3.69,3.83,16
2026-07-30,B,600259,广晟有色,watch,2026-07-30,69.05,2026-08-21,85.3,23.53,33.53,16
2026-07-30,B,000568,泸州老窖,watch,2026-07-30,90.54,2026-08-21,85.2,-5.9,1.37,16
2026-07-30,B,601899,紫金矿业,watch,2026-07-30,32.3,2026-08-21,34.74,7.55,8.42,16
2026-07-30,B,603596,伯特利,watch,2026-07-30,25.88,2026-08-21,25.12,-2.94,6.26,16
2026-07-30,B,601168,西部矿业,watch,2026-07-30,36.65,2026-08-21,37.85,3.27,17.52,16
2026-07-30,B,300034,钢研高纳,watch,2026-07-30,15.51,2026-08-21,15.54,0.19,5.61,16
2026-07-30,B,002821,凯莱英,watch,2026-07-30,145.95,2026-08-21,168.1,15.18,24.97,16
2026-07-30,B,301047,义翘神州,watch,2026-07-30,67.02,2026-08-21,118.8,77.26,108.13,16
2026-07-30,B,600436,片仔癀,watch,2026-07-30,136.23,2026-08-21,124.1,-8.9,2.6,16
2026-07-30,B,603383,顶点软件,watch,2026-07-30,29.86,2026-08-21,28.59,-4.25,3.58,16
2026-07-30,B,000534,万泽股份,watch,2026-07-30,24.99,2026-08-21,27.03,8.16,19.33,16
2026-07-30,B,600019,宝钢股份,watch,2026-07-30,6.26,2026-08-21,5.81,-7.19,0.0,16
2026-07-30,B,300468,四方精创,watch,2026-07-30,22.05,2026-08-21,22.21,0.73,7.53,16
2026-07-30,B,300130,新国都,watch,2026-07-30,18.6,2026-08-21,18.25,-1.88,9.62,16
2026-07-30,B,000858,五粮液,watch,2026-07-30,78.56,2026-08-21,71.19,-9.38,0.0,16
2026-07-30,B,002378,章源钨业,watch,2026-07-30,21.38,2026-08-21,26.2,22.54,32.27,16
2026-08-03,B,300627,华测导航,watch,2026-08-03,28.59,2026-08-21,27.13,-5.11,1.75,14
2026-08-03,B,600497,驰宏锌锗,watch,2026-08-03,9.25,2026-08-21,10.12,9.41,16.0,14
2026-08-03,B,688690,纳微科技,watch,2026-08-03,33.15,2026-08-21,43.4,30.92,36.86,14
2026-08-03,B,603379,三美股份,watch,2026-08-03,60.32,2026-08-21,61.45,1.87,12.27,14
2026-08-03,B,000657,中钨高新,watch,2026-08-03,47.99,2026-08-21,68.14,41.99,51.99,14
2026-08-03,B,002821,凯莱英,watch,2026-08-03,146.92,2026-08-21,168.1,14.42,24.15,14
2026-08-03,B,601888,中国中免,watch,2026-08-03,57.97,2026-08-21,52.29,-9.8,0.0,14
2026-08-03,B,000568,泸州老窖,watch,2026-08-03,90.39,2026-08-21,85.2,-5.74,1.54,14
2026-08-03,B,002041,登海种业,watch,2026-08-03,8.93,2026-08-21,9.26,3.7,14.0,14
2026-08-03,B,920982,锦波生物,watch,2026-08-03,128.98,2026-08-21,121.65,-5.68,8.01,14
2026-08-03,B,600301,华锡有色,watch,2026-08-03,41.63,2026-08-21,47.71,14.6,22.48,14
2026-08-03,B,600436,片仔癀,watch,2026-08-03,138.11,2026-08-21,124.1,-10.14,1.2,14
