code,name,disclosure_date,np_yoy_pct,rev_yoy_pct,tier,np_rank_pct,ret_1d,ret_5d,ret_20d,idx_ret_1d,excess_ret_1d,idx_ret_5d,excess_ret_5d,idx_ret_20d,excess_ret_20d
002137,实益达,2026-08-11,107.13,17.1241004683,Beat(前1/3),0.8228070175438597,-0.01245330012453294,0.0062266500622665255,,-0.008193679514465146,-0.004259620610067794,0.004048813667342888,0.002177836394923638,,
000059,华锦股份,2026-08-20,136.92,-12.8960301041,Beat(前1/3),0.8576023391812866,-0.03944773175542404,,,0.002387774103576934,-0.041835505859000977,,,,
603042,华脉科技,2026-08-21,185.0595994219,5.0382693561,Beat(前1/3),0.8941520467836257,0.005822416302765587,,,0.00037963778661431746,0.00544277851615127,,,,
300249,依米康,2026-08-24,40.74,24.7140056596,Beat(前1/3),0.6842105263157895,,,,,,,,,
688627,精智达,2026-08-19,59.9,81.1679117713,Beat(前1/3),0.7456140350877193,-0.12956017126074804,,,-0.024028745679527175,-0.10553142558122086,,,,
002439,启明星辰,2026-08-22,132.98,9.0091601881,Beat(前1/3),0.8526315789473684,,,,,,,,,
002136,安 纳 达,2026-08-24,285.03,26.3398269683,Beat(前1/3),0.9315789473684211,,,,,,,,,
300437,清水源,2026-08-11,93.17,18.3729822932,Beat(前1/3),0.8046783625730994,-0.013239187996469615,0.007060900264783676,,-0.008193679514465146,-0.005045508482004468,0.004048813667342888,0.0030120865974407884,,
605006,山东玻纤,2026-08-19,234.89,38.2454952024,Beat(前1/3),0.9157894736842105,-0.07547169811320742,,,-0.024028745679527175,-0.051442952433680245,,,,
600236,桂冠电力,2026-07-31,48.09,37.5916562809,Beat(前1/3),0.7157894736842105,0.011214953271028172,0.025233644859813165,,0.007246051126858388,0.003968902144169784,0.02514237022540322,9.127463440994354e-05,,
000519,中兵红箭,2026-08-21,191.36,38.1509084566,Beat(前1/3),0.8982456140350877,-0.0014074595355384467,,,0.00037963778661431746,-0.0017870973221527642,,,,
601899,紫金矿业,2026-08-22,68.17,15.7816890732,Beat(前1/3),0.7619883040935672,,,,,,,,,
603663,三祥新材,2026-08-22,71.48,0.2284225587,Beat(前1/3),0.7695906432748538,,,,,,,,,
