date,ticker,name,decision_raw,group,t0_date,t0_close,n_days_avail,ret_5,ret_20,ret_40,data_status
2026-07-29,600019,宝钢股份,watch,watch,2026-07-29,6.11,17,-4.092,,,OK
2026-07-29,002270,华明装备,watch,watch,2026-07-29,19.89,17,5.832,,,OK
2026-07-29,002385,大北农,watch,watch,2026-07-29,3.0,17,1.333,,,OK
2026-07-29,601168,西部矿业,watch,watch,2026-07-29,36.91,17,11.135,,,OK
2026-07-29,688122,西部超导,watch,watch,2026-07-29,52.07,17,5.185,,,OK
2026-07-29,000831,中国稀土,watch,watch,2026-07-29,48.03,17,7.433,,,OK
2026-07-29,002438,江苏神通,watch,watch,2026-07-29,12.58,17,21.542,,,OK
2026-07-29,688690,纳微科技,watch,watch,2026-07-29,35.28,17,6.519,,,OK
2026-07-29,603379,三美股份,watch,watch,2026-07-29,59.16,17,6.542,,,OK
2026-07-29,600259,广晟有色,watch,watch,2026-07-29,71.13,17,17.32,,,OK
2026-07-29,603505,金石资源,watch,watch,2026-07-29,16.09,17,3.667,,,OK
2026-07-29,002821,凯莱英,watch,watch,2026-07-29,155.01,17,5.4,,,OK
2026-07-29,600549,厦门钨业,watch,watch,2026-07-29,47.37,17,13.405,,,OK
2026-07-29,603688,石英股份,watch,watch,2026-07-29,43.57,17,6.748,,,OK
2026-07-29,000657,中钨高新,watch,watch,2026-07-29,52.54,17,9.307,,,OK
2026-07-30,600114,东睦股份,watch,watch,2026-07-30,24.97,16,14.577,,,OK
2026-07-30,000657,中钨高新,watch,watch,2026-07-30,48.4,16,29.132,,,OK
2026-07-30,603505,金石资源,watch,watch,2026-07-30,15.94,16,6.775,,,OK
2026-07-30,688690,纳微科技,watch,watch,2026-07-30,34.34,16,10.949,,,OK
2026-07-30,300395,菲利华,watch,watch,2026-07-30,71.6,16,14.288,,,OK
2026-07-30,688017,绿的谐波,watch,watch,2026-07-30,261.0,16,28.751,,,OK
2026-07-30,300487,蓝晓科技,watch,watch,2026-07-30,56.04,16,15.186,,,OK
2026-07-30,002385,大北农,watch,watch,2026-07-30,3.02,16,0.331,,,OK
2026-07-30,688234,天岳先进,watch,watch,2026-07-30,81.35,16,17.517,,,OK
2026-07-30,603477,巨星农牧,watch,watch,2026-07-30,14.9,16,0.403,,,OK
2026-07-30,600259,广晟有色,watch,watch,2026-07-30,69.05,16,23.07,,,OK
2026-07-30,000568,泸州老窖,watch,watch,2026-07-30,90.54,16,-3.899,,,OK
2026-07-30,601899,紫金矿业,watch,watch,2026-07-30,32.3,16,5.511,,,OK
2026-07-30,603596,伯特利,watch,watch,2026-07-30,25.88,16,6.26,,,OK
2026-07-30,601168,西部矿业,watch,watch,2026-07-30,36.65,16,8.404,,,OK
2026-07-30,300034,钢研高纳,watch,watch,2026-07-30,15.51,16,3.288,,,OK
2026-07-30,002821,凯莱英,watch,watch,2026-07-30,145.95,16,7.297,,,OK
2026-07-30,301047,义翘神州,watch,watch,2026-07-30,67.02,16,34.139,,,OK
2026-07-30,600436,片仔癀,watch,watch,2026-07-30,136.23,16,-0.323,,,OK
2026-07-30,603383,顶点软件,watch,watch,2026-07-30,29.86,16,1.842,,,OK
2026-07-30,000534,万泽股份,watch,watch,2026-07-30,24.99,16,5.642,,,OK
2026-07-30,600019,宝钢股份,watch,watch,2026-07-30,6.26,16,-6.55,,,OK
2026-07-30,300468,四方精创,watch,watch,2026-07-30,22.05,16,7.528,,,OK
2026-07-30,300130,新国都,watch,watch,2026-07-30,18.6,16,9.624,,,OK
2026-07-30,000858,五粮液,watch,watch,2026-07-30,78.56,16,-5.193,,,OK
