code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600307,2025-07-23,1.85,1.68,1,True,10.12,1.2065,139798308.05,11587095570.0,33.09,0,0.1
sh.600315,2025-08-22,25.74,23.4,1,False,3.89,3.1061,530813669.0,17089394063.0,10.47,0,0.1
sh.600319,2025-07-01,7.18,6.53,2,False,-1.53,12.7781,266471668.44,2085377861.0,22.53,0,0.1
sh.600319,2025-07-02,7.9,7.18,3,False,8.5,18.9026,465940027.64,2464952058.0,35.74,0,0.1
sh.600319,2025-08-26,8.06,7.33,1,False,0.0,5.5157,167678487.76,3040021897.0,14.16,0,0.1
sh.600319,2025-08-29,8.48,7.71,1,False,-0.52,3.6537,116383385.52,3185356913.0,24.71,0,0.1
sh.600320,2025-07-02,4.84,4.4,1,False,5.23,2.7179,431636938.21,15881266353.0,10.76,0,0.1
sh.600326,2025-07-21,10.54,9.58,1,True,10.02,0.7482,104714752.44,13995556327.0,24.15,0,0.1
sh.600326,2025-07-22,11.59,10.54,2,True,9.96,0.5231,80502227.65,15389452810.0,33.22,0,0.1
sh.600326,2025-07-23,12.75,11.59,3,True,10.01,0.2836,48007753.5,16927980783.0,45.88,0,0.1
sh.600326,2025-07-24,14.03,12.75,4,True,10.04,7.5016,1397548517.23,18630005828.0,63.33,0,0.1
sh.600326,2025-07-25,15.43,14.03,5,False,9.98,45.8111,9336744998.83,20380966619.0,77.15,0,0.1
sh.600326,2025-07-29,17.23,15.66,1,False,-1.66,37.9856,8130041314.25,21402956158.0,103.18,0,0.1
sh.600330,2025-08-18,9.44,8.58,1,False,2.91,14.4966,1647700753.12,11366118629.0,25.03,0,0.1
sh.600338,2025-07-22,12.94,11.76,1,False,1.19,17.335,1981026283.51,11427898953.0,23.59,0,0.1
sh.600340,2025-07-10,2.48,2.25,1,False,-0.44,8.7204,802742918.04,9205345145.0,11.21,0,0.1
sh.600343,2025-07-18,13.81,12.55,1,False,-0.16,8.4146,718961730.48,8544217556.0,25.77,0,0.1
sh.600345,2025-08-25,29.66,26.96,1,False,2.0,11.0189,670255855.32,6082783720.0,22.26,0,0.1
sh.600353,2025-07-01,14.67,13.34,1,False,4.05,12.6924,1518070094.03,11960465271.0,39.32,0,0.1
sh.600353,2025-07-09,13.87,12.61,1,False,0.95,16.7526,1895110002.29,11312333622.0,10.69,0,0.1
sh.600353,2025-08-22,16.57,15.06,1,False,1.99,10.5456,1411640584.65,13386062288.0,26.78,0,0.1
sh.600355,2025-08-11,2.97,2.83,1,False,1.06,7.1154,102072702.64,1434532179.0,4.58,1,0.1
sh.600355,2025-08-12,3.12,2.97,2,False,5.05,4.0356,61929247.0,1534573471.0,14.71,1,0.1
sh.600355,2025-08-14,3.36,3.2,1,False,2.81,3.0385,50045597.0,1647049432.0,17.48,1,0.1
sh.600355,2025-08-20,3.48,3.31,1,False,0.6,9.8464,166384926.28,1689804662.0,27.01,1,0.1
sh.600355,2025-08-22,3.69,3.51,1,False,0.57,6.779,122504599.76,1807119041.0,35.66,1,0.1
sh.600355,2025-08-25,3.87,3.69,2,False,2.98,9.082,170906142.05,1881811738.0,41.76,1,0.1
sh.600360,2025-07-28,7.86,7.49,1,False,4.67,1.3245,99833720.36,7537464731.0,-0.76,1,0.1
sh.600360,2025-07-29,8.25,7.86,2,True,4.96,0.4469,35403645.75,7922050962.0,6.04,1,0.1
sh.600360,2025-07-30,8.66,8.25,3,True,4.97,0.3709,30842538.04,8315593971.0,9.62,1,0.1
sh.600360,2025-08-12,9.0,8.57,1,False,-0.23,4.1427,353393434.11,8530509912.0,2.97,1,0.1
sh.600360,2025-08-19,9.45,9.0,1,True,5.0,0.096,8709762.6,9072669375.0,13.17,1,0.1
sh.600360,2025-08-20,9.92,9.45,2,True,4.97,0.1186,11300873.92,9528561484.0,21.87,1,0.1
sh.600361,2025-08-20,4.72,4.29,1,False,-0.23,12.8217,863601445.41,6735467570.0,14.29,0,0.1
sh.600365,2025-08-15,3.42,3.26,1,False,0.0,3.9551,57177795.54,1445672563.0,4.91,1,0.1
sh.600366,2025-08-07,13.17,11.97,1,False,0.67,15.482,2059977291.49,13305627771.0,11.89,0,0.1
sh.600366,2025-08-08,14.49,13.17,2,False,6.3,12.0732,1839392017.0,15235331287.0,18.09,0,0.1
sh.600366,2025-08-13,15.74,14.31,1,False,-0.77,23.12,3660053662.1,15830681929.0,38.07,0,0.1
sh.600376,2025-07-21,2.82,2.56,1,False,10.16,3.2399,235442135.58,7266956868.0,21.03,0,0.1
sh.600381,2025-08-04,4.59,4.37,1,False,0.0,2.5566,67734754.9,2649407608.0,8.0,1,0.1
sh.600381,2025-08-18,4.41,4.2,1,False,-0.24,1.1341,29130549.15,2568604986.0,6.52,1,0.1
sh.600381,2025-08-29,4.97,4.73,1,False,0.42,3.5245,101853438.51,2889869159.0,13.73,1,0.1
sh.600391,2025-07-29,32.03,29.12,1,False,-0.89,10.9535,1102230514.66,10062815672.0,10.64,0,0.1
sh.600392,2025-07-11,14.99,13.63,1,False,5.5,10.7107,2758281056.4,25752575055.0,12.03,0,0.1
sh.600392,2025-07-21,18.73,17.03,1,False,1.76,10.1582,3232220937.63,31818835400.0,44.86,0,0.1
sh.600392,2025-07-28,24.59,22.35,1,False,0.0,19.5171,8024869701.51,41117121404.0,86.71,0,0.1
sh.600396,2025-07-01,3.25,2.95,1,False,0.0,7.3651,343267235.5,4660727424.0,4.5,0,0.1
sh.600396,2025-07-07,3.85,3.5,1,False,5.71,13.5631,761086296.46,5611447947.0,22.22,0,0.1
sh.600396,2025-07-14,3.99,3.63,1,False,-1.1,5.2376,302189879.21,5769625004.0,29.55,0,0.1
sh.600397,2025-08-21,7.35,6.68,1,False,-0.45,7.4541,532633098.7,7145505141.0,20.1,0,0.1
sh.600397,2025-08-26,8.12,7.38,1,False,-1.08,7.2596,559154494.96,7702276916.0,32.03,0,0.1
sh.600399,2025-07-11,5.8,5.27,1,False,0.0,9.2358,1016409409.43,11005104154.0,15.54,0,0.1
sh.600400,2025-08-18,2.43,2.21,1,False,0.45,5.1996,283513524.72,5452602599.0,8.48,0,0.1
sh.600400,2025-08-19,2.67,2.43,2,False,2.88,7.0365,412089663.01,5856457941.0,19.2,0,0.1
sh.600408,2025-07-30,2.49,2.26,1,False,1.33,6.3841,155580809.17,2437004577.0,18.01,0,0.1
sh.600410,2025-07-24,10.81,9.83,1,False,1.73,14.803,1730505621.86,11690235911.0,13.55,0,0.1
